Site;order;replicate;ID;Sex;Age;Mass;location;y;direction;height;dc;Year;Month;Day;Julian.date;Time;Period;perch.duration;perch.ratio;vigilance;survival;lived.till;agedeath;reproduction;offspring;juveniles;dist.gr;distance;gr.size;gr.size.juve;avg.wind;wind.dir;cloud.cover;temperature;humidity;hindfoot;old_obs.r
3;10;1;37;1;1;240;d2;10;s;1.5;0.3;2015;3;5;387;10:48:03;morning;417;0.695;0.695;1;841;3+;scrotal;0;absent;30;30;6;6;17.8;NE;0;24.1;37.7;42.9;0.1296
2;12;1;206;1;1;225;c;25;e;1.45;0.3;2015;3;6;388;10:20:30;morning;600;1;0.999999;1;841;2+;scrotal;0;absent;10;10;4;4;6.5;NE;1;17.5;65.3;41.46666667;0.149267
2;14;1;66;1;1;245;c;20;e;0.3;0.3;2015;3;6;388;10:41:27;morning;52;0.086666667;0.086666667;1;841;3+;scrotal;0;absent;10;10;4;4;8.7;NE;1;17.5;65.1;43.3;0.149217
2;15;1;57;2;1;230;crw1;50;e;0.55;0.5;2015;3;6;388;11:03:13;noon;552;0.92;0.92;1;841;3+;lactation;0;absent;50;50;2;2;10.5;NE;1;17.5;61.3;42.33333333;0.1281
2;16;1;140;1;2;240;rw;1;ne;0;1;2015;3;6;388;11:54:01;noon;0;0;1.00E-06;0;688;1;scrotal;0;absent;10;10;5;5;16.6;NE;1;17.5;67.2;44.425;0.11415
2;17;1;81;1;2;250;rw;2;e;1.1;0.3;2015;3;6;388;12:14:23;noon;52;0.086666667;0.086666667;1;841;3;scrotal;0;absent;10;10;5;5;11.3;NE;0;24.9;71.4;42.9;0.11415
3;21;1;70;1;1;235;hrw;15;n;0;1;2015;3;9;391;10:17:57;morning;600;1;0.999999;1;841;3+;scrotal;0;absent;30;30;1;1;15.6;NE;1;18.8;64.3;43.4;0.1648
3;22;1;75;1;1;215;cd;2;nw;0.5;0.3;2015;3;9;391;10:40:06;morning;361;0.601666667;0.601666667;0;475;2+;scrotal;0;absent;30;30;1;1;15.6;NE;1;18.8;71.3;43;0.1648
3;23;1;78;2;1;190;ad;7;ne;0.9;0.3;2015;3;9;391;11:03:37;noon;292;0.486666667;0.486666667;0;444;2+;lactation;0;absent;20;20;1;1;15.6;NE;1;18.8;58.5;40;0.1084
3;24;1;72;2;1;230;dam1;5;e;0.5;0.5;2015;3;9;391;11:17:56;noon;458;0.763333333;0.763333333;1;841;3+;lactation;0;absent;20;20;1;1;20;NE;1;18.8;64.3;42.8;0.1084
3;25;1;67;1;1;240;srw;10;w;1.2;0.3;2015;3;9;391;12:03:00;noon;51;0.085;0.085;0;535;2+;scrotal;0;absent;30;30;3;3;20.7;NE;1;23.1;64.3;43.05;0.15145
2;26;1;121;2;2;210;t2;20;e;0.8;0.3;2015;3;9;391;13:11:46;midday;598;0.996666667;0.996666667;0;475;1;gestation;0;absent;40;40;1;1;19.6;NE;1;23.1;53.5;40.5;0.0938
2;27;1;44;2;1;230;t3;40;nw;0.6;0.3;2015;3;9;391;13:32:19;midday;197;0.328333333;0.328333333;1;841;3+;gestation;0;absent;40;40;1;1;19.6;NE;1;23.1;55.8;42.75;0.0938
3;28;1;154;2;1;210;d6?;NA;;NA;NA;2015;3;9;391;16:39:26;afternoon;0;0;1.00E-06;1;841;3+;gestation;0;absent;30;40;2;2;19.6;NE;1;23.1;65.6;41.35;0.262033
