"","year","id","scans.feed","scans.obs.x","propfeed","scans.perch","scans.obs.y","propperch","avemass","hf","bc","survival_age","survived"
"1","2014","10",34,276,0.123188405797101,123,276,0.445652173913043,227.619047619048,41.7142857142857,0.398291350467919,2,1
"2","2014","11",4,58,0.0689655172413793,29,58,0.5,200.833333333333,41.125,0.328254771165341,2,1
"3","2014","12",25,226,0.110619469026549,79,226,0.349557522123894,200.769230769231,39.2166666666667,0.512154245119579,2,1
"4","2014","13",48,337,0.142433234421365,121,337,0.359050445103858,225.75,42.86,0.284994428190061,2,1
"5","2014","14",4,34,0.117647058823529,14,34,0.411764705882353,156.666666666667,39.3,0.255888586659696,1,1
"6","2014","15",29,201,0.144278606965174,79,201,0.393034825870647,198.636363636364,39.1285714285714,0.510193177338362,2,1
"7","2014","16",48,300,0.16,119,300,0.396666666666667,203.6,39.55,0.493340001629538,4,1
"8","2014","17",66,351,0.188034188034188,120,351,0.341880341880342,208.611111111111,39.4666666666667,0.525832367732264,4,1
"9","2014","18",51,328,0.155487804878049,125,328,0.38109756097561,182.8125,40.72,0.272611602801893,2,1
"10","2014","19",46,269,0.171003717472119,77,269,0.286245353159851,170,38.7333333333333,0.393877687580743,2,1
"11","2014","20",36,264,0.136363636363636,82,264,0.310606060606061,173.75,39.6857142857143,0.321518807728268,1,1
"12","2014","22",29,227,0.127753303964758,78,227,0.343612334801762,217.5,38.575,0.656159373227511,1,1
"13","2014","23",41,284,0.144366197183099,125,284,0.440140845070423,217.608695652174,41.5333333333333,0.370171556699553,2,1
"14","2014","25",48,258,0.186046511627907,108,258,0.418604651162791,253.75,43,0.389272008291183,1,1
"15","2014","26",39,198,0.196969696969697,55,198,0.277777777777778,199,43.3166666666667,0.117779529558877,3,1
"16","2014","28",35,163,0.214723926380368,43,163,0.263803680981595,188.333333333333,41.3571428571429,0.242168795699114,4,1
"17","2014","29",19,222,0.0855855855855856,81,222,0.364864864864865,198.611111111111,39.75,0.448974678499329,2,1
"18","2014","30",18,98,0.183673469387755,29,98,0.295918367346939,249,40.2666666666667,0.625009215619754,2,1
"19","2014","31",27,221,0.122171945701357,104,221,0.470588235294118,229.615384615385,42.775,0.309668636942291,4,1
"20","2014","32",6,104,0.0576923076923077,36,104,0.346153846153846,217.142857142857,41.7,0.352501433886051,3,1
"21","2014","33",17,253,0.0671936758893281,100,253,0.395256916996047,180,38.9,0.434388954209003,1,1
"22","2014","35",10,65,0.153846153846154,19,65,0.292307692307692,244.375,42.075,0.435939599708706,1,1
"23","2014","36",34,248,0.137096774193548,128,248,0.516129032258065,230.833333333333,44.3,0.179140268767278,2,1
"24","2014","37",1,28,0.0357142857142857,10,28,0.357142857142857,235,42.75,0.335115138517574,3,1
"25","2014","39",3,20,0.15,5,20,0.25,185,40.9,0.267405636603665,1,1
"26","2014","40",33,295,0.111864406779661,123,295,0.416949152542373,241.176470588235,41.7666666666667,0.451281402571729,2,1
"27","2014","41",14,193,0.0725388601036269,61,193,0.316062176165803,227.5,41.025,0.462368748000577,3,1
"28","2014","42",11,76,0.144736842105263,32,76,0.421052631578947,177.727272727273,41.625,0.159175674889834,2,1
"29","2014","44",7,66,0.106060606060606,22,66,0.333333333333333,194.761904761905,41.55,0.257695379783125,4,1
"30","2014","45",18,255,0.0705882352941176,103,255,0.403921568627451,178.809523809524,39.44,0.374302245374914,2,1
"31","2014","46",10,40,0.25,8,40,0.2,143.846153846154,41.225,-0.0148924438785758,4,1
"32","2014","47",7,22,0.318181818181818,6,22,0.272727272727273,158.75,39.3,0.269098818396503,1,1
"33","2014","48",4,31,0.129032258064516,10,31,0.32258064516129,198,42.9333333333333,0.147205203597833,4,1
"34","2014","49",39,205,0.190243902439024,71,205,0.346341463414634,196,39.05,0.504625199695885,4,1
"35","2014","51",2,51,0.0392156862745098,27,51,0.529411764705882,229.615384615385,43.325,0.260134559091427,1,1
"36","2014","52",5,154,0.0324675324675325,60,154,0.38961038961039,192.291666666667,40.225,0.370583627850309,3,1
"37","2014","53",13,145,0.0896551724137931,40,145,0.275862068965517,170.294117647059,39.95,0.275694443693051,4,1
"38","2014","54",1,16,0.0625,5,16,0.3125,150,42.45,-0.0865313445409211,1,1
"39","2014","55",14,165,0.0848484848484849,62,165,0.375757575757576,225,43.6,0.21529756833752,3,1
"40","2014","56",5,194,0.0257731958762887,81,194,0.417525773195876,208,41.5,0.328124058884514,3,1
"41","2014","57",1,60,0.0166666666666667,27,60,0.45,223.684210526316,41.05,0.443091858307966,3,1
"42","2014","58",3,40,0.075,18,40,0.45,222.647058823529,41.975,0.352049228936792,3,1
"43","2014","59",14,106,0.132075471698113,34,106,0.320754716981132,225.416666666667,41.85,0.37597507865565,3,1
"44","2014","60",4,35,0.114285714285714,14,35,0.4,200.714285714286,39.3,0.503650613336235,3,1
"45","2014","61",2,62,0.032258064516129,12,62,0.193548387096774,211,40.425,0.44419907051889,2,1
"46","2014","64",3,113,0.0265486725663717,49,113,0.433628318584071,238.75,43.15,0.314838173905133,1,1
"47","2014","68",6,59,0.101694915254237,21,59,0.355932203389831,188.235294117647,41.7666666666667,0.203445238667148,2,1
"48","2014","69",5,16,0.3125,4,16,0.25,201.428571428571,40.1333333333333,0.425850583599371,1,1
"49","2014","70",11,73,0.150684931506849,34,73,0.465753424657534,216.875,42.78,0.252130947092692,3,1
"50","2014","72",8,59,0.135593220338983,23,59,0.389830508474576,234.375,41.85,0.414946933887743,3,1
"51","2014","76",11,71,0.154929577464789,33,71,0.464788732394366,255.625,44,0.307501007306776,3,1
"52","2014","77",18,83,0.216867469879518,22,83,0.265060240963855,195.714285714286,40.45,0.366599827055358,2,1
"53","2014","78",7,45,0.155555555555556,10,45,0.222222222222222,186.923076923077,39.24,0.438389141595095,2,1
"54","2014","79",5,58,0.0862068965517241,22,58,0.379310344827586,215,40.125,0.491858909721016,4,1
"55","2014","80",21,124,0.169354838709677,34,124,0.274193548387097,226.25,43.65,0.216394063838015,2,1
"56","2014","81",18,140,0.128571428571429,32,140,0.228571428571429,210,42.6333333333333,0.233232438828537,4,1
"57","2014","86",7,55,0.127272727272727,25,55,0.454545454545455,249.444444444444,42.3,0.435793898105957,3,1
"58","2014","88",7,47,0.148936170212766,15,47,0.319148936170213,189.333333333333,40.525,0.326271026697254,1,1
"59","2014","89",7,55,0.127272727272727,12,55,0.218181818181818,193.055555555556,41.9,0.216373146113846,4,1
"60","2014","90",1,29,0.0344827586206897,17,29,0.586206896551724,222,44.15,0.153271904793847,1,1
"61","2014","92",6,47,0.127659574468085,24,47,0.51063829787234,205.416666666667,40.425,0.417381373731614,1,1
"62","2014","95",13,85,0.152941176470588,23,85,0.270588235294118,222.142857142857,43.25,0.233767063712556,3,1
"63","2014","99",1,12,0.0833333333333333,5,12,0.416666666666667,102.272727272727,40.1636363636364,-0.254867554120932,2,1
"64","2014","103",36,120,0.3,22,120,0.183333333333333,118.333333333333,40.675,-0.15805693397457,1,1
"65","2014","117",1,14,0.0714285714285714,1,14,0.0714285714285714,111.25,39.475,-0.103678078622057,1,1
"66","2014","123",13,76,0.171052631578947,18,76,0.236842105263158,84,36.3555555555556,-0.0654750590254266,3,1
"67","2014","126",9,41,0.219512195121951,9,41,0.219512195121951,76.25,37.5428571428571,-0.286869825216413,1,1
"68","2014","127",9,53,0.169811320754717,9,53,0.169811320754717,95.4545454545455,38.94,-0.203902428250308,1,1
"69","2014","131",9,50,0.18,5,50,0.1,118.333333333333,40.0833333333333,-0.101245446193747,3,1
"70","2014","132",13,105,0.123809523809524,23,105,0.219047619047619,133,40.2111111111111,0.00325836087258454,3,1
"71","2014","134",10,63,0.158730158730159,18,63,0.285714285714286,134.444444444444,41.9111111111111,-0.146481796088906,1,1
"72","2014","136",9,62,0.145161290322581,17,62,0.274193548387097,114.375,39.9857142857143,-0.125814572350915,3,1
"73","2014","145",6,45,0.133333333333333,9,45,0.2,61,38.18,-0.575260100826058,1,1
"74","2014","151",4,37,0.108108108108108,14,37,0.378378378378378,103.333333333333,37.46,0.0256390223438578,3,1
"75","2014","163",2,33,0.0606060606060606,7,33,0.212121212121212,88.75,37.825,-0.164092243047092,3,1
"76","2014","187",14,73,0.191780821917808,14,73,0.191780821917808,87.1428571428571,37.7142857142857,-0.171001855530678,1,1
"77","2015","12",2,27,0.0740740740740741,18,27,0.666666666666667,188.958333333333,40.8,0.298067449149628,2,1
"78","2015","13",5,50,0.1,26,50,0.52,234.318181818182,43.95,0.224877740881379,2,1
"79","2015","15",10,51,0.196078431372549,31,51,0.607843137254902,198.5,40.7666666666667,0.350498889037133,2,1
"80","2015","16",6,49,0.122448979591837,25,49,0.510204081632653,197.916666666667,41.3,0.297162104653388,4,1
"81","2015","17",4,38,0.105263157894737,23,38,0.605263157894737,239.970588235294,40.72,0.544666932188356,4,1
"82","2015","18",7,85,0.0823529411764706,44,85,0.517647058823529,218.815789473684,42.12,0.321321470085854,2,1
"83","2015","23",5,40,0.125,22,40,0.55,234.186046511628,43.7666666666667,0.240520516761331,2,1
"84","2015","26",11,73,0.150684931506849,44,73,0.602739726027397,210.882352941176,44.8333333333333,0.0423463929658487,3,1
"85","2015","28",7,55,0.127272727272727,29,55,0.527272727272727,215.408163265306,43.275,0.200740591073505,4,1
"86","2015","31",2,29,0.0689655172413793,15,29,0.517241379310345,252.5,43.1,0.375327649130367,4,1
"87","2015","32",2,6,0.333333333333333,1,6,0.166666666666667,232.857142857143,44.65,0.157358005468283,3,1
"88","2015","36",2,38,0.0526315789473684,24,38,0.631578947368421,242.5,44.45,0.215340277680826,2,1
"89","2015","37",4,28,0.142857142857143,13,28,0.464285714285714,211.851851851852,42.35,0.26786472224725,3,1
"90","2015","41",7,22,0.318181818181818,8,22,0.363636363636364,254.347826086957,43.3,0.364669487886947,3,1
"91","2015","44",4,17,0.235294117647059,7,17,0.411764705882353,229.347826086957,42.75,0.310769366788533,4,1
